ID,scenario,rxpackage,inc_fire,cpu,cumsum_carb,total_carbon_grow,total_carbon_max,cumsum_fire,biosum_cond_id,biosum_plot_id,fortypcd,acres,owngrpcd,lat,lon,elev,MEANING,CEC_type,TargetType
421,10MM,040,with fire,10.723582410931872,298386.4655486428,-1137.521922855213,35689.45347830312,298386.4655486428,1201506060508901e9,1201506060508901e8,371,5730.615980848355,10,40.643,-121.6,6300,California mixed conifer,Mixed conifer,1
1942,10MM,040,with fire,10.84805978448667,324699.67173016554,88.74949792234737,26313.20618152275,324699.67173016554,1201406060407101e9,1201406060407101e8,371,6730.983695960061,10,34.284,-116.9,7900,California mixed conifer,Mixed conifer,1
1687,10MM,020,with fire,11.020732768114557,331017.7374335349,-1647.2386710184717,6318.0657033693215,331017.7374335349,1201106060106101e9,1201106060106101e8,221,1915.9252226417225,10,39.258,-120.6,5100,Ponderosa pine,Pine,1
112,10MM,010,with fire,12.383468028006632,337464.273789743,-366.7552249869171,6446.5363562081475,337464.273789743,12010060110015007e8,12010060110015008e7,202,1950.0089905901611,10,41.959,-123.6,3700,Port-Orford-cedar,Other conifer,0
2210,10MM,700,with fire,12.655069518738003,356389.8670981944,1593.7523848414419,18925.59330845136,356389.8670981944,12018060608017006e8,12018060608017006e7,371,6212.549869729824,10,38.729,-120.2,4900,California mixed conifer,Mixed conifer,1
2186,10MM,020,with fire,13.197485631772379,361529.1138893976,345.4052868921578,5139.246791203217,361529.1138893976,12017060607109009e8,1201706060710901e8,225,3801.8746172346177,10,38.131,-119.9,6900,Jeffrey pine,Pine,1
1893,10MM,040,with fire,13.233757585659687,394006.5277306939,-4033.616685819278,32477.413841296322,394006.5277306939,12014060604017007e8,12014060604017006e7,281,5115.457637628268,10,38.843,-120.2,7100,Lodgepole pine,Other conifer,0
2164,10MM,010,with fire,14.060047044754885,398576.9873569619,-318.7313140194858,4570.459626267914,398576.9873569619,12017060607063008e8,12017060607063008e7,371,3462.827857515274,10,39.882,-120.7,4900,California mixed conifer,Mixed conifer,1
494,10MM,040,with fire,14.290774033723947,415439.67436126474,-1447.408203191473,16862.687004302894,415439.67436126474,12016060606105006e8,12016060606105005e7,371,3204.754569089568,10,40.402,-123.1,4500,California mixed conifer,Mixed conifer,1
507,10MM,040,with fire,14.309823405183895,435286.7488707592,-2240.9577159767264,19847.074509494465,435286.7488707592,12017060207093007e8,12017060207093007e7,371,1867.4612100004986,10,41.986,-122.9,5300,California mixed conifer,Mixed conifer,1
1350,10MM,010,with fire,14.543884916618456,440732.31440724223,-403.9218503372189,5445.565536482996,440732.31440724223,12013060603093006e8,12013060603093006e7,221,1768.478773083902,10,41.588,-122.1,5900,Ponderosa pine,Pine,1
2190,10MM,040,with fire,14.92912266325834,445532.11344675306,-466.7702133872116,4799.79903951086,445532.11344675306,1201706060710901e9,1201706060710901e8,371,1506.9650479335232,10,38.153,-120,5500,California mixed conifer,Mixed conifer,1
2159,10MM,700,with fire,15.226110044281578,478203.9737335063,5264.406822291125,32671.8602867532,478203.9737335063,12017060607063006e8,12017060607063006e7,371,5844.394851944215,10,39.937,-120.5,6300,California mixed conifer,Mixed conifer,1
1632,10MM,040,with fire,15.329549422603142,502491.9102399116,-279.28353340411064,24287.936506405313,502491.9102399116,1201006051010901e9,12010060510109009e7,371,5673.45475720812,10,38.055,-119.9,6300,California mixed conifer,Mixed conifer,1
1688,10MM,040,with fire,15.81045768186723,518489.89349112904,-298.3671437633123,15997.983251217463,518489.89349112904,12011060601063005e8,12011060601063006e7,261,5844.394851944215,10,39.89,-120.5,6300,White fir,True fir,1
402,10MM,010,with fire,16.099888378485044,524868.762189023,-322.65885861305264,6378.868697893901,524868.762189023,12015060605033009e8,1201506060503301e8,371,3070.264987072792,10,39.531,-122.8,4100,California mixed conifer,Mixed conifer,1
2104,10MM,040,with fire,16.85330377590715,548048.8990143613,-1657.1518318108692,23180.136825338366,548048.8990143613,12016060606091007e8,12016060606091006e7,371,6123.0102935874575,10,39.646,-120.7,5900,California mixed conifer,Mixed conifer,1
155,10MM,010,with fire,16.988956909424363,552380.9647998584,-417.32423531245627,4332.065785497124,552380.9647998584,12010060510105004e8,12010060510105006e7,933,1689.0663176805215,10,40.461,-123.2,3500,Canyon live oak,Hardwood,0
1384,10MM,020,with fire,16.99217262840593,557168.2798365876,-521.3894978203376,4787.315036729124,557168.2798365876,12015060605035006e8,12015060605035006e7,225,2069.39110020784,10,41.018,-120.8,5300,Jeffrey pine,Pine,1
207,10MM,010,with fire,17.019180105599258,562048.5492614743,-249.7981229107698,4880.269424886692,562048.5492614743,1201106060109301e9,12011060601093009e7,371,2201.29989053345,10,41.979,-123,5100,California mixed conifer,Mixed conifer,1
2005,10MM,040,with fire,17.97275294328842,585491.1116323158,-3739.957803876524,23442.562370841548,585491.1116323158,12015060605063006e8,12015060605063006e7,371,4365.159458464792,10,39.886,-120.4,6700,California mixed conifer,Mixed conifer,1
524,10MM,040,with fire,18.17502118657378,604679.8853078636,-3080.972364844527,19188.77367554781,604679.8853078636,1201706060706301e9,1201706060706301e8,371,5844.394851944215,10,40.194,-121.1,4700,California mixed conifer,Mixed conifer,1
871,10MM,040,with fire,19.220166284714825,616205.006899243,3036.9987512031803,11525.121591379397,616205.006899243,12013060603023007e8,12013060603023007e7,371,4300.047523402207,10,41.109,-123.5,4500,California mixed conifer,Mixed conifer,1
1979,10MM,040,with fire,19.854590301267105,624672.6848838936,-1227.5640055691476,8467.677984650574,624672.6848838936,12015060605029007e8,12015060605029007e7,933,2421.7394929754237,10,34.809,-118.9,5300,Canyon live oak,Hardwood,0
2135,10MM,010,with fire,19.95697884201562,635070.7977115526,-2167.650798381492,10398.112827659066,635070.7977115526,12017060607019005e8,12017060607019006e7,933,5556.371671383617,10,37.035,-119.2,4100,Canyon live oak,Hardwood,0
6,10MM,010,with fire,19.97370599085471,638370.2032650361,-55.36274153055943,3299.405553483428,638370.2032650361,12009060109093007e8,12009060109093008e7,270,1137.3953940044573,10,41.93,-122.9,6500,Mountain hemlock,Other conifer,0
